Name,School,ERA,W,L,G,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,BF,BAA,WP,HBP,BK
"Koali'i Pontes, Blaze",Hawaii,2.94,5,1,22,7,0,0,1,70.33,68,29,23,26,88,9,3,5,274,0.248,3,5,0
"Renne, Dalton",Hawaii,4.5,4,3,23,3,0,0,6,44,40,22,22,8,42,6,0,5,162,0.247,0,5,1
"Whipple, Ben",Hawaii,8.44,0,0,8,0,0,0,0,5.33,8,6,5,6,5,0,0,1,24,0.333,4,2,0
"Sodersten, Blake",CSUN,5.67,5,6,19,11,0,0,1,81,103,58,51,28,75,22,2,10,341,0.302,6,7,0
"Wilson, Chad",CSUN,3.62,2,1,16,0,0,0,0,27.33,26,11,11,12,15,6,0,2,106,0.245,2,4,2
"Jauregui, Elias",CSUN,4.7,1,0,14,0,0,0,0,15.33,17,9,8,6,11,3,0,1,61,0.279,2,2,0
"Braun, Lucas",CSUN,2.91,7,4,20,10,1,0,0,74.33,62,25,24,17,77,9,1,9,274,0.226,6,6,1
"Carey, Shane",CSUN,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
"Granados, Sebastian",CSUN,3.12,0,1,5,2,0,0,1,8.66,4,3,3,10,8,3,0,0,30,0.133,0,1,0
"Gutierrez, Diego",CSUN,2.92,3,1,16,8,0,0,1,49.33,44,19,16,27,36,6,0,3,185,0.238,4,6,0
"Hoskins, Kyle",CSUN,20.25,0,0,9,0,0,0,0,4,11,9,9,3,4,4,0,1,21,0.524,1,0,0
"Lizik, Gavin",CSUN,5.4,1,0,12,1,0,0,0,13.33,16,10,8,7,11,2,0,2,53,0.302,2,1,2
"Martinez, Xavier",CSUN,3.03,2,0,23,0,0,0,1,29.66,27,13,10,10,20,8,1,4,115,0.235,2,4,0
"Ontiveros, Isaac",CSUN,11.25,0,0,7,0,0,0,0,4,10,5,5,3,1,2,0,2,16,0.625,0,1,0
"Schriever, Blake",CSUN,4.63,2,2,21,0,0,0,8,23.33,23,13,12,10,22,3,1,5,89,0.258,1,1,1
