"Name","School","ERA","W","L","G","GS","CG","SHO","SV","IP","H","R","ER","BB","SO","X2B","X3B","HR","BF","BAA","WP","HBP","BK","IP_outs","FIP","SO_BB","ERA_plus","WHIP","H9","HR9","BB9","SO9","K_rate","BB_rate","K_BB_rate"
"Alvarez, Aren","UC San Diego",4.32,3,4,22,2,0,0,2,41.66,34,27,20,20,44,5,3,4,160,0.213,6,2,0,125,4.78,2.2,118,1.536,7.3,0.9,4.3,9.5,27.5,12.5,15
"Conlon, Noah","UC San Diego",6.35,4,9,16,14,0,0,0,66.66,75,52,47,43,64,15,1,4,268,0.28,18,8,0,200,5.21,1.49,80,1.605,10.1,0.5,5.8,8.6,23.9,16,7.9
"Dale, Cole","UC San Diego",6.3,0,1,16,2,0,0,0,20,18,18,14,19,9,3,1,0,77,0.234,1,4,0,60,6.61,0.47,81,1.4,8.1,0,8.5,4,11.7,24.7,-13
"Dalquist, Matthew","UC San Diego",2.11,1,0,4,4,0,0,0,21.33,20,5,5,5,20,5,0,2,82,0.244,3,0,0,64,4.1,4,241,1.172,8.4,0.8,2.1,8.4,24.4,6.1,18.3
"Ernisse, Zack","UC San Diego",6.58,4,3,19,6,0,0,0,53.33,59,40,39,25,45,4,3,4,210,0.281,11,6,0,160,5.09,1.8,77,1.313,10,0.7,4.2,7.6,21.4,11.9,9.5
"Forcucci, Ryan","UC San Diego",4.19,2,4,13,12,0,0,0,53.66,50,28,25,15,53,12,4,2,199,0.251,5,6,0,161,3.74,3.53,121,1.267,8.4,0.3,2.5,8.9,26.6,7.5,19.1
"Gilmartin, Chris","UC San Diego",12,0,1,6,1,0,0,0,3,5,4,4,2,1,0,0,2,11,0.455,0,1,0,9,15.06,0.5,42,1,15,6,6,3,9.1,18.2,-9.1
"Hasegawa, Sam","UC San Diego",6.3,1,1,17,1,0,0,0,20,21,18,14,14,15,2,2,3,76,0.276,3,2,0,60,6.91,1.07,81,1.45,9.5,1.3,6.3,6.8,19.7,18.4,1.3
"McCracken, Nolan","UC San Diego",7.37,1,0,17,0,0,0,0,14.66,18,13,12,13,21,4,0,1,57,0.316,0,1,0,44,4.94,1.62,69,2.318,11,0.6,8,12.9,36.8,22.8,14
"Morris, Lonnie","UC San Diego",4.3,0,0,13,0,0,0,0,14.66,9,9,7,15,11,1,0,3,48,0.188,0,2,0,44,8.69,0.73,118,1.772,5.5,1.8,9.2,6.7,22.9,31.2,-8.3
"Soberon, Joey","UC San Diego",5.18,1,0,19,1,0,0,1,33,37,24,19,19,25,6,3,4,131,0.282,2,5,0,99,6.3,1.32,98,1.333,10.1,1.1,5.2,6.8,19.1,14.5,4.6
"Tornero, Joel","UC San Diego",81.82,0,0,4,0,0,0,0,0.33,3,3,3,1,1,1,0,0,4,0.75,0,1,0,1,16.18,1,6,6.061,81.8,0,27.3,27.3,25,25,0
"Acosta, Jaykob","CSU Bakersfield",4.73,3,7,16,9,0,0,0,72.33,75,49,38,32,46,14,1,2,274,0.274,6,18,0,217,5.22,1.44,107,1.078,9.3,0.2,4,5.7,16.8,11.7,5.1
"Verdugo, Ryan","CSU Bakersfield",4.55,2,1,20,1,0,0,5,33.66,33,22,17,21,30,8,0,1,121,0.273,9,5,1,101,4.98,1.43,112,1.515,8.8,0.3,5.6,8,24.8,17.4,7.4
"Ulloa, Gabe","CSU Bakersfield",7.83,3,1,23,0,0,0,0,33.33,52,37,29,15,27,8,2,3,149,0.349,9,1,2,100,5.05,1.8,65,1.26,14,0.8,4.1,7.3,18.1,10.1,8
"Altamirano, Kevin","CSU Bakersfield",3.98,0,0,13,0,0,0,1,20.33,19,9,9,12,20,2,0,0,74,0.257,3,4,0,61,4.45,1.67,128,1.574,8.4,0,5.3,8.9,27,16.2,10.8
"Butler, Davonte","CSU Bakersfield",3.68,0,1,6,2,0,0,0,7.33,8,6,3,5,7,3,0,0,29,0.276,3,1,0,22,4.6,1.4,138,1.637,9.8,0,6.1,8.6,24.1,17.2,6.9
"Caggianelli, Benji","CSU Bakersfield",4.53,2,3,14,12,0,0,0,53.66,37,42,27,39,71,5,0,8,195,0.19,12,11,1,161,6.14,1.82,112,2.05,6.2,1.3,6.5,11.9,36.4,20,16.4
"Comnos, Matt","CSU Bakersfield",7.43,1,2,18,1,0,0,1,26.66,32,22,22,16,32,7,0,5,101,0.317,0,6,0,80,6.57,2,68,1.8,10.8,1.7,5.4,10.8,31.7,15.8,15.9
"Johnson, Kenny","CSU Bakersfield",6.21,1,3,16,1,0,0,2,29,45,27,20,11,18,8,0,3,127,0.354,2,6,1,87,5.92,1.64,82,1,14,0.9,3.4,5.6,14.2,8.7,5.5
"O'Connor, Kellen","CSU Bakersfield",3.79,4,4,13,11,1,1,0,54.66,65,30,23,14,56,10,0,6,217,0.3,2,4,1,164,4.42,4,134,1.28,10.7,1,2.3,9.2,25.8,6.5,19.3
"Ott, Taylor","CSU Bakersfield",3.75,0,1,16,0,0,0,0,12,14,13,5,7,11,2,0,3,49,0.286,1,1,1,36,7.47,1.57,135,1.5,10.5,2.2,5.2,8.2,22.4,14.3,8.1
"Parcher, Carter","CSU Bakersfield",12.3,0,0,8,0,0,0,0,3.66,5,5,5,4,2,1,0,0,16,0.313,0,2,0,11,7.87,0.5,41,1.635,12.3,0,9.8,4.9,12.5,25,-12.5
"Perryman, Nick","CSU Bakersfield",17.67,0,1,11,1,0,0,0,8.66,20,18,17,11,8,3,0,0,45,0.444,1,0,0,26,6.02,0.73,29,2.191,20.8,0,11.4,8.3,17.8,24.4,-6.6
"Reynolds, Ryan","CSU Bakersfield",27.07,0,0,4,0,0,0,0,1.33,2,4,4,2,2,0,0,1,6,0.333,0,0,0,4,15.33,1,19,3.008,13.5,6.8,13.5,13.5,33.3,33.3,0
"Roderick, David","CSU Bakersfield",8.31,0,1,2,1,0,0,0,4.33,4,5,4,2,5,0,0,0,17,0.235,1,0,0,13,3.13,2.5,61,1.617,8.3,0,4.2,10.4,29.4,11.8,17.6
"Saldana, Marcelo","CSU Bakersfield",5.41,0,0,8,0,0,0,0,3.33,5,6,2,2,4,3,0,0,17,0.294,0,2,0,10,5.26,2,94,1.802,13.5,0,5.4,10.8,23.5,11.8,11.7
"Santa Cruz, Adrian","CSU Bakersfield",5.52,1,4,15,12,0,0,0,58.66,88,46,36,16,46,21,2,6,249,0.353,3,9,0,176,5.1,2.88,92,1.057,13.5,0.9,2.5,7.1,18.5,6.4,12.1
"Tucker, Cody","CSU Bakersfield",5.49,1,5,24,1,0,0,3,39.33,37,27,24,21,39,7,2,2,145,0.255,4,9,0,118,5.02,1.86,93,1.526,8.5,0.5,4.8,8.9,26.9,14.5,12.4
"Peng, Nathan","UC Davis",13.28,0,4,15,5,0,0,0,19.66,27,34,29,23,17,3,1,2,81,0.333,7,7,0,59,8.22,0.74,38,2.034,12.4,0.9,10.5,7.8,21,28.4,-7.4
"Seeman, Carson","UC Davis",6.27,0,4,9,6,0,0,0,18.66,23,14,13,7,7,9,0,1,76,0.303,2,1,1,56,5.29,1,81,0.75,11.1,0.5,3.4,3.4,9.2,9.2,0
"Arenado, Kyler","UC Davis",3.52,1,1,10,0,0,0,0,7.66,8,3,3,2,5,1,1,0,28,0.286,0,1,0,23,3.93,2.5,144,0.913,9.4,0,2.3,5.9,17.9,7.1,10.8
"Meredith, Nolan","UC Davis",8.31,0,4,17,7,0,0,0,34.66,49,36,32,19,18,9,1,3,137,0.358,6,7,0,104,6.39,0.95,61,1.067,12.7,0.8,4.9,4.7,13.1,13.9,-0.800000000000001
"Riccomini, Kaden","UC Davis",5.93,2,5,13,4,0,0,0,57.66,75,44,38,18,34,13,1,6,228,0.329,5,4,0,173,5.37,1.89,86,0.902,11.7,0.9,2.8,5.3,14.9,7.9,7
"Carrion, Daniel","UC Davis",9.82,0,4,18,4,0,0,1,25.66,46,35,28,13,24,15,4,0,120,0.383,5,5,1,77,4.29,1.85,52,1.441,16.1,0,4.6,8.4,20,10.8,9.2
"Freeman, Nate","UC Davis",6.41,1,1,15,5,0,0,0,71.66,84,55,51,34,43,20,4,5,285,0.295,11,18,0,215,5.94,1.26,79,1.074,10.5,0.6,4.3,5.4,15.1,11.9,3.2
"Green, Bryan","UC Davis",5.45,2,6,16,6,0,0,0,71,78,51,43,28,52,14,0,9,278,0.281,3,10,0,213,5.84,1.86,93,1.127,9.9,1.1,3.5,6.6,18.7,10.1,8.6
"Janowicz, Kai","UC Davis",17,0,0,12,0,0,0,0,9,20,19,17,12,5,4,1,1,44,0.455,5,1,0,27,8.72,0.42,30,1.889,20,1,12,5,11.4,27.3,-15.9
"LaCour, Andrew","UC Davis",11.57,0,2,20,2,0,0,0,16.33,28,24,21,19,22,6,1,2,76,0.368,1,3,0,49,7,1.16,44,2.511,15.4,1.1,10.5,12.1,28.9,25,3.9
"Lemos, Nate","UC Davis",6.08,0,2,17,2,0,0,0,13.33,19,15,9,4,6,4,1,2,57,0.333,0,3,0,40,6.68,1.5,84,0.75,12.8,1.4,2.7,4.1,10.5,7,3.5
"Ryder, Nico","UC Davis",0,0,0,6,0,0,0,0,2,1,0,0,0,1,0,0,0,7,0.143,0,1,0,6,4.56,Inf,Inf,0.5,4.5,0,0,4.5,14.3,0,14.3
"Yau, Leroy","UC Davis",14.63,0,1,17,0,0,0,0,8,10,16,13,8,5,2,0,1,33,0.303,2,6,0,24,9.68,0.62,35,1.625,11.2,1.1,9,5.6,15.2,24.2,-9
"Andrez Melendrez","UC Riverside",9,0,0,3,0,0,0,0,1,1,1,1,2,0,1,0,0,4,0.25,0,0,0,3,10.06,0,56,2,9,0,18,0,0,50,-50
"Nate Webb","UC Riverside",27.27,0,0,4,0,0,0,0,0.66,3,2,2,0,0,0,0,1,5,0.6,0,0,0,2,23.46,NA,19,0,40.3,13.4,0,0,0,0,0
"Tyler Frazier","UC Riverside",7.93,0,8,14,13,0,0,0,53.33,73,53,47,37,34,13,1,3,217,0.336,10,13,1,160,6.32,0.92,64,1.331,12.3,0.5,6.2,5.7,15.7,17.1,-1.4
"Sergio Ramirez","UC Riverside",3.05,3,6,21,0,0,0,0,38.33,32,16,13,25,27,5,1,2,138,0.232,9,7,0,115,5.83,1.08,167,1.357,7.5,0.5,5.9,6.3,19.6,18.1,1.5
"Kyle Anderson","UC Riverside",8.29,0,3,20,2,0,0,2,33.66,48,35,31,21,28,11,2,4,142,0.338,7,3,0,101,6.08,1.33,61,1.455,12.8,1.1,5.6,7.5,19.7,14.8,4.9
"Corbin Barker","UC Riverside",15.98,0,2,17,1,0,0,0,16.33,21,30,29,25,15,14,0,0,66,0.318,9,8,1,49,8.28,0.6,32,2.449,11.6,0,13.8,8.3,22.7,37.9,-15.2
"Cruz Barrios","UC Riverside",10.57,0,1,16,1,0,0,0,30.66,47,39,36,22,26,8,2,4,132,0.356,4,2,0,92,6.4,1.18,48,1.565,13.8,1.2,6.5,7.6,19.7,16.7,3
"Jesse Bullard","UC Riverside",13.5,0,0,4,0,0,0,0,2,3,4,3,3,3,2,0,0,9,0.333,2,0,0,6,5.56,1,38,3,13.5,0,13.5,13.5,33.3,33.3,0
"Zach Jacobs","UC Riverside",4.16,0,1,2,2,0,0,0,8.66,8,4,4,4,10,3,0,0,33,0.242,1,3,0,26,4.17,2.5,122,1.615,8.3,0,4.2,10.4,30.3,12.1,18.2
"Juline, Tuck","UC Riverside",7.49,2,7,19,9,0,0,0,57.66,76,54,48,25,29,15,6,8,236,0.322,4,6,0,173,6.47,1.16,68,0.936,11.9,1.2,3.9,4.5,12.3,10.6,1.7
"Joey Magrisi","UC Riverside",10.85,0,5,19,4,0,0,1,40.66,67,52,49,26,30,15,5,8,182,0.368,7,2,0,122,7.2,1.15,47,1.377,14.8,1.8,5.8,6.6,16.5,14.3,2.2
"Eric Marrujo","UC Riverside",8.52,2,7,16,10,1,0,0,56,74,54,53,28,30,22,3,7,228,0.325,2,13,0,168,6.81,1.07,60,1.036,11.9,1.1,4.5,4.8,13.2,12.3,0.899999999999999
"Jeremiah Priddy","UC Riverside",5.23,0,3,16,9,0,0,0,53.33,62,42,31,26,42,21,0,5,214,0.29,11,8,0,160,5.61,1.62,97,1.275,10.5,0.8,4.4,7.1,19.6,12.1,7.5
"Roldan, Aj","UC Riverside",7.11,0,0,15,0,0,0,1,19,22,17,15,17,12,4,0,3,71,0.31,4,3,4,57,8,0.71,71,1.526,10.4,1.4,8.1,5.7,16.9,23.9,-7
"Caleb Turner","UC Riverside",9.8,1,2,22,2,0,0,0,41.33,61,46,45,16,28,20,1,6,174,0.351,9,5,1,124,6.11,1.75,52,1.065,13.3,1.3,3.5,6.1,16.1,9.2,6.9
