"Name","School","ERA","W","L","G","GS","CG","SHO","SV","IP","H","R","ER","BB","SO","X2B","X3B","HR","BF","BAA","WP","HBP","BK","IP_outs","FIP","SO_BB","ERA_plus","WHIP","H9","HR9","BB9","SO9","K_rate","BB_rate","K_BB_rate"
"Franks, Jason","Cal Poly",3.17,4,2,34,0,0,0,11,54,45,21,19,22,69,7,3,3,197,0.228,1,5,0,162,3.72,3.14,160,1.685,7.5,0.5,3.7,11.5,35,11.2,23.8
"Larkin, Noah","Cal Poly",4.4,2,3,16,4,0,0,1,28.66,31,19,14,10,18,10,1,0,114,0.272,1,2,0,86,4.06,1.8,115,0.977,9.7,0,3.1,5.7,15.8,8.8,7
"Sagouspe, Tanner","Cal Poly",0,0,0,4,0,0,0,0,0.33,0,0,0,1,1,0,0,0,1,0,1,1,0,1,16.18,1,Inf,6.061,0,0,27.3,27.3,100,100,0
"Scott, Kyle","Cal Poly",6.26,0,3,17,1,0,0,5,27.33,43,22,19,7,34,4,2,1,121,0.355,5,2,0,82,3.03,4.86,81,1.5,14.2,0.3,2.3,11.2,28.1,5.8,22.3
"Sheedy, Kaden","Cal Poly",5.23,3,2,16,4,0,0,0,31,43,20,18,12,39,14,2,3,130,0.331,5,5,0,93,4.44,3.25,97,1.645,12.5,0.9,3.5,11.3,30,9.2,20.8
"Thorpe, Drew","Cal Poly",2.32,10,1,15,15,1,1,0,104.66,65,31,27,25,149,19,1,5,371,0.175,6,2,0,314,2.6,5.96,219,1.662,5.6,0.4,2.1,12.8,40.2,6.7,33.5
"Villalobos, Dylan","Cal Poly",3.13,0,3,17,11,0,0,0,31.66,20,11,11,22,31,2,1,1,107,0.187,2,6,1,95,5.16,1.41,162,1.674,5.7,0.3,6.3,8.8,29,20.6,8.4
"Warrecker, Bryce","Cal Poly",5.81,2,0,14,0,0,0,0,26.33,32,19,17,5,30,4,1,6,107,0.299,1,4,1,79,5.76,6,87,1.329,10.9,2.1,1.7,10.3,28,4.7,23.3
"Archer, Andy","Hawaii",5.04,2,5,19,12,0,0,1,60.66,73,42,34,18,47,15,2,3,251,0.291,0,3,1,182,4.19,2.61,101,1.071,10.8,0.4,2.7,7,18.7,7.2,11.5
"Harrison, Connor","Hawaii",4.96,3,1,20,0,0,0,1,32.66,29,20,18,20,27,7,0,2,123,0.236,7,6,0,98,5.59,1.35,102,1.439,8,0.6,5.5,7.4,22,16.3,5.7
"Hagan, Cameron","Hawaii",6.03,1,2,20,3,0,0,1,34.33,41,29,23,25,34,9,0,1,141,0.291,4,13,1,103,5.77,1.36,84,1.719,10.7,0.3,6.6,8.9,24.1,17.7,6.4
"Ronan, Cory","Hawaii",5.31,0,1,17,3,0,0,1,18.66,19,14,11,18,20,3,1,0,72,0.264,2,4,0,56,5.45,1.11,96,2.035,9.2,0,8.7,9.6,27.8,25,2.8
