Name,School,AVG,G,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG,BB,HBP,SO,GDP,OBP,SF,SH,SB,SBA
"Martinez, Izaak",UC San Diego,0.000,18,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Alvarez, Aren",UC San Diego,0.000,20,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Conlon, Noah",UC San Diego,0.000,16,14,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Costello, Nick",UC San Diego,0.162,23,7,37,6,6,0,1,0,4,8,0.216,5,1,16,0,0.273,1,0,1,1
"Dale, Cole",UC San Diego,0.000,13,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Dalquist, Matthew",UC San Diego,0.000,4,4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Dickman, Blake",UC San Diego,0.000,1,0,1,0,0,0,0,0,0,0,0.000,0,0,1,0,0.000,0,0,0,0
"Ernisse, Zack",UC San Diego,0.000,18,6,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Fejeran, Jalen",UC San Diego,0.000,2,0,2,1,0,0,0,0,0,0,0.000,1,0,2,0,0.333,0,0,0,0
"Forcucci, Ryan",UC San Diego,0.000,13,12,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Gilmartin, Chris",UC San Diego,0.000,2,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Hasegawa, Sam",UC San Diego,0.000,15,1,1,0,0,0,0,0,0,0,0.000,0,0,1,0,0.000,0,0,0,0
"Kleszcz, Brock",UC San Diego,0.231,27,15,65,14,15,6,1,1,6,26,0.400,2,5,24,1,0.301,1,0,0,1
"McCracken, Nolan",UC San Diego,0.000,14,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Mitchell, Michael",UC San Diego,0.000,1,0,1,0,0,0,0,0,0,0,0.000,0,0,1,0,0.000,0,0,0,0
"Morris, Lonnie",UC San Diego,0.000,11,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Rocha, Jason",UC San Diego,0.000,1,0,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Saunders, Luke",UC San Diego,0.286,36,24,98,19,28,3,3,0,12,37,0.378,10,4,23,0,0.368,2,0,4,6
"Soberon, Joey",UC San Diego,0.000,18,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Solis, Luke",UC San Diego,0.091,10,3,11,2,1,0,1,0,2,3,0.273,4,2,7,0,0.412,0,0,0,0
"Tornero, Joel",UC San Diego,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Weiner, Tyler",UC San Diego,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Fitzgerald, Ben",UC Irvine,0.271,46,43,170,34,46,10,3,7,29,83,0.488,26,7,56,1,0.385,2,3,3,5
"Hadeen, Woody",UC Irvine,0.267,49,49,176,38,47,7,3,1,17,63,0.358,31,19,34,0,0.429,0,9,13,14
"Church, Nathan",UC Irvine,0.309,53,53,217,46,67,9,2,5,38,95,0.438,27,4,35,6,0.387,5,0,6,11
"Gleed, Dub",UC Irvine,0.271,49,45,181,34,49,12,2,2,38,71,0.392,14,13,37,3,0.362,2,1,2,2
"Torres, Justin",UC Irvine,0.280,54,54,200,37,56,16,3,7,36,99,0.495,26,10,59,2,0.385,3,0,5,8
"McCaffrey, Thomas",UC Irvine,0.229,44,37,144,16,33,8,1,5,27,58,0.403,17,5,40,2,0.329,1,4,1,3
"Kendle, Caden",UC Irvine,0.328,46,33,122,26,40,5,1,6,16,65,0.533,19,13,21,1,0.465,1,2,5,7
"Smith, Myles",UC Irvine,0.229,22,11,48,10,11,2,0,1,10,16,0.333,12,0,19,0,0.377,1,1,0,0
"Castro, Jacob",UC Irvine,0.264,29,20,87,11,23,5,0,1,16,31,0.356,2,2,19,3,0.297,0,0,0,0
"Nakawake, Taishi",UC Irvine,0.217,56,55,166,32,36,6,1,2,17,50,0.301,25,9,42,1,0.348,1,15,6,7
"Garcia-Pacheco, A.",UC Irvine,0.250,39,33,116,14,29,2,0,0,11,31,0.267,17,9,27,2,0.385,1,6,0,0
"Pinto, Nick",UC Irvine,0.000,15,15,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Ingebritson, Gordon",UC Irvine,0.000,32,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Antone, Andre",UC Irvine,0.000,20,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Brooks, Tanner",UC Irvine,0.000,24,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Call, Chase",UC Irvine,0.500,4,1,6,1,3,1,0,0,1,4,0.667,1,0,1,0,0.571,0,0,0,0
"Frias, Michael",UC Irvine,0.000,11,11,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"King, Jacob",UC Irvine,0.000,24,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"McGuire, Connor",UC Irvine,0.162,42,26,99,14,16,5,2,2,19,31,0.313,7,2,26,1,0.225,3,2,1,1
"Penso, Blake",UC Irvine,0.200,8,3,15,1,3,0,0,0,0,3,0.200,1,2,9,0,0.333,0,0,0,0
"Rincover, Nick",UC Irvine,0.000,11,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Robinson, Cooper",UC Irvine,0.000,14,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Spillane, Luke",UC Irvine,0.226,50,41,146,20,33,5,2,0,25,42,0.288,18,6,41,1,0.329,3,4,6,9
"Spillane, Jake",UC Irvine,0.000,7,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Stanford, Michael",UC Irvine,0.000,11,5,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Suarez, Danny",UC Irvine,0.000,6,6,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Taylor, Troy",UC Irvine,0.000,26,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Thomas, Roger",UC Irvine,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Vizcaino, David",UC Irvine,0.000,9,6,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Wall, Finnegan",UC Irvine,0.000,5,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Wentworth, Troy",UC Irvine,0.000,10,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Wheeler, Cameron",UC Irvine,0.000,15,10,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,
"Mico, J.D.",UC Davis,0.229,37,34,140,20,32,6,0,0,9,38,0.271,16,3,32,2,0.317,2,1,2,2
"Wolbert, Mark",UC Davis,0.351,41,39,151,27,53,10,3,2,15,75,0.497,21,0,49,1,0.428,1,0,3,5
"Leehey, Nick",UC Davis,0.265,40,40,155,25,41,10,0,5,29,66,0.426,16,3,43,2,0.341,2,0,1,1
"Henrickson, Jonah",UC Davis,0.248,41,41,157,20,39,8,0,4,16,59,0.376,9,9,55,1,0.326,0,0,3,5
"Iverson, Nick",UC Davis,0.280,27,24,82,8,23,6,0,1,13,32,0.390,12,7,30,0,0.416,0,0,2,3
"Brandel, Jake",UC Davis,0.196,29,26,97,9,19,2,0,0,7,21,0.216,5,1,16,2,0.240,1,0,1,2
