Name,School,AVG,G,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG,BB,HBP,SO,GDP,OBP,SF,SH,SB,SBA
"Jauregui, Elias",CSUN,0.000,12,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Braun, Lucas",CSUN,0.000,20,10,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Camarillo, Ali",CSUN,0.270,31,29,111,21,30,1,0,1,14,34,0.306,7,10,9,1,0.364,1,4,1,2
"Carey, Shane",CSUN,0.000,2,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Cerny, Victor",CSUN,0.000,2,1,3,0,0,0,0,0,0,0,0.000,0,0,1,0,0.000,0,0,0,0
"Daini, Joey",CSUN,0.000,1,0,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Fitzer, Kevin",CSUN,0.317,20,10,41,7,13,3,1,0,10,18,0.439,12,3,6,0,0.491,1,0,4,4
"Garcia, Sebastian",CSUN,0.186,26,21,59,11,11,3,0,1,7,17,0.288,11,4,15,1,0.351,0,1,0,0
"Granados, Sebastian",CSUN,0.000,6,2,3,0,0,0,0,0,0,0,0.000,0,0,1,0,0.000,0,0,0,0
"Gutierrez, Diego",CSUN,0.000,16,8,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Hoskins, Kyle",CSUN,0.000,6,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Lizik, Gavin",CSUN,0.000,11,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Martinez, Xavier",CSUN,0.000,22,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Ontiveros, Isaac",CSUN,0.000,5,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Porter, Drew",CSUN,0.118,27,9,34,10,4,0,0,1,6,7,0.206,6,2,8,0,0.286,0,1,3,4
"Powell, Luke",CSUN,0.172,15,8,29,2,5,1,0,0,2,6,0.207,2,2,8,0,0.273,0,2,0,0
"Schriever, Blake",CSUN,0.000,19,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Thomas, Matt",CSUN,0.000,7,0,4,1,0,0,0,0,0,0,0.000,1,2,3,0,0.429,0,0,0,0
"Traxel, Blaine",CSUN,0.000,19,14,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Wentz, Ryan",CSUN,0.000,8,8,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Yogi, CJ",CSUN,0.235,20,14,51,5,12,1,0,2,5,19,0.373,2,0,5,0,0.264,0,3,0,0
"Connor, Caden",CSU Fullerton,0.327,55,55,226,42,74,14,2,4,37,104,0.460,33,1,28,5,0.414,1,0,2,2
"Lyon, Jackson",CSU Fullerton,0.328,50,47,189,36,62,11,2,7,29,98,0.519,21,2,34,4,0.399,1,1,2,5
"Pigford, Deylan",CSU Fullerton,0.230,31,11,61,3,14,1,0,1,4,18,0.295,1,0,22,0,0.242,0,5,1,1
"Schell, Austin",CSU Fullerton,0.382,43,34,131,16,50,14,0,3,26,73,0.557,15,4,18,3,0.454,2,2,1,1
"Lew, Zach",CSU Fullerton,0.317,54,52,199,36,63,9,0,1,29,75,0.377,34,5,28,7,0.427,1,2,0,2
"Bobo, Brendan",CSU Fullerton,0.258,39,35,132,20,34,7,1,8,35,67,0.508,13,6,52,3,0.346,2,0,2,3
"Nankil, Nate",CSU Fullerton,0.237,49,40,156,15,37,10,3,2,17,59,0.378,9,3,41,5,0.288,2,1,14,15
"Navyac, J.T.",CSU Fullerton,0.266,49,40,128,19,34,2,3,0,8,42,0.328,10,5,27,2,0.343,0,4,6,6
"White, Carter",CSU Fullerton,0.276,25,13,58,5,16,1,0,0,8,17,0.293,2,1,13,1,0.306,1,2,0,1
"Schardt, Jakob",CSU Fullerton,0.160,11,6,25,4,4,0,0,0,1,4,0.160,5,0,5,0,0.300,0,0,0,0
"Haley, Jack",CSU Fullerton,0.253,53,49,166,28,42,4,1,0,15,48,0.289,8,6,55,0,0.308,2,3,3,5
"Stultz, Tyler",CSU Fullerton,0.000,15,14,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Repetti, Cameron",CSU Fullerton,0.000,22,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Brandow, Jason",CSU Fullerton,0.301,44,37,146,31,44,3,1,7,23,70,0.479,19,4,36,1,0.394,1,0,4,6
"Chester, Fynn",CSU Fullerton,0.000,23,6,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Cruz, JJ",CSU Fullerton,0.187,38,19,75,8,14,1,0,2,11,21,0.280,5,5,21,3,0.279,1,2,0,0
"Gentry, Jake",CSU Fullerton,0.100,11,3,10,1,1,0,0,0,0,1,0.100,4,0,3,1,0.357,0,0,0,0
"Gil, Ryan",CSU Fullerton,0.000,14,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Gomes, Tristan",CSU Fullerton,0.200,9,1,10,3,2,1,0,0,0,3,0.300,0,2,3,0,0.333,0,0,0,0
"Gomez, Samuel",CSU Fullerton,0.000,12,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Hale, Damone",CSU Fullerton,0.234,23,11,47,10,11,3,1,0,3,16,0.340,5,0,19,3,0.308,0,0,2,2
"Harvey, Jake",CSU Fullerton,0.100,4,3,10,0,1,0,0,0,1,1,0.100,0,0,5,0,0.100,0,0,0,0
"Howitt, Josh",CSU Fullerton,0.000,23,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Johnson, Wyatt",CSU Fullerton,0.000,13,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Jones, Peyton",CSU Fullerton,0.000,16,5,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Josten, Timothy",CSU Fullerton,0.000,5,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Joya, Anthony",CSU Fullerton,0.000,6,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Kelly, Grant",CSU Fullerton,0.000,5,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Meyer, Gavin",CSU Fullerton,0.000,22,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Muniz, Izeah",CSU Fullerton,0.000,11,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Pomilia, Anthony",CSU Fullerton,0.143,6,1,7,1,1,1,0,0,0,2,0.286,1,0,1,0,0.250,0,0,0,0
"Rodriguez, Christian",CSU Fullerton,0.000,7,7,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Spears, Brayden",CSU Fullerton,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Urman, Cole",CSU Fullerton,0.210,40,38,138,11,29,6,0,1,14,38,0.275,6,3,32,0,0.252,4,3,1,3
"Vargas, Jake",CSU Fullerton,0.000,4,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Wambold, James",CSU Fullerton,0.000,8,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Weisberg, Michael",CSU Fullerton,0.000,25,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Yates, Evan",CSU Fullerton,0.000,17,10,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Salas, Nick",CSU Bakersfield,0.209,48,44,134,22,28,5,0,0,13,33,0.246,32,3,23,6,0.371,1,5,6,11
"Bell, James",CSU Bakersfield,0.300,47,47,180,32,54,13,1,6,34,87,0.483,24,0,45,7,0.379,2,0,2,3
"Miller, AJ",CSU Bakersfield,0.294,52,52,201,35,59,16,0,12,38,111,0.552,22,4,65,0,0.371,2,0,1,3
"Perez, Aaron",CSU Bakersfield,0.211,47,43,147,13,31,6,0,1,7,40,0.272,14,4,54,0,0.295,1,0,0,1
"Carrizosa, Daniel",CSU Bakersfield,0.182,28,13,55,5,10,0,0,0,3,10,0.182,5,1,10,2,0.262,0,0,1,1
"Morrissey, Jashia",CSU Bakersfield,0.292,48,47,168,32,49,13,3,3,20,77,0.458,22,2,37,3,0.376,2,1,3,7
"Saldivar, Angel",CSU Bakersfield,0.259,35,30,116,14,30,2,0,1,16,35,0.302,8,7,16,5,0.344,0,0,0,0
"Seeger, Bailey",CSU Bakersfield,0.301,34,23,93,10,28,4,0,2,13,38,0.409,8,2,22,0,0.369,0,1,0,0
"Allanson, Andrew",CSU Bakersfield,0.242,45,42,161,27,39,4,1,7,28,66,0.410,13,2,44,8,0.302,3,0,2,2
"Casillas, Aaron",CSU Bakersfield,0.280,49,49,193,21,54,14,0,1,28,71,0.368,9,5,26,5,0.327,1,8,1,4
"Hendriks, Cody",CSU Bakersfield,0.214,17,16,56,8,12,2,0,0,6,14,0.250,6,1,7,1,0.302,0,1,1,3
"Acosta, Jaykob",CSU Bakersfield,0.000,16,9,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Verdugo, Ryan",CSU Bakersfield,0.000,19,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Ulloa, Gabe",CSU Bakersfield,0.000,21,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Altamirano, Kevin",CSU Bakersfield,0.000,12,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Anderson Vine, Nic",CSU Bakersfield,0.343,25,4,35,6,12,2,0,0,3,14,0.400,7,0,10,0,0.442,1,1,0,3
"Blackburn, Cory",CSU Bakersfield,0.300,15,5,20,1,6,1,0,0,3,7,0.350,2,1,4,1,0.391,0,0,1,3
"Butler, Davonte",CSU Bakersfield,0.000,3,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Caggianelli, Benji",CSU Bakersfield,0.000,14,12,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Comnos, Matt",CSU Bakersfield,0.000,16,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Johnson, Kenny",CSU Bakersfield,0.000,15,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Kurata, Matt",CSU Bakersfield,0.273,11,6,22,5,6,1,0,0,1,7,0.318,5,1,8,0,0.429,0,0,0,0
"O'Connor, Kellen",CSU Bakersfield,0.000,12,11,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Ott, Taylor",CSU Bakersfield,0.000,13,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Parcher, Carter",CSU Bakersfield,0.000,5,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Perreira, Brock",CSU Bakersfield,0.250,11,2,12,0,3,0,0,0,2,3,0.250,4,0,5,0,0.438,0,0,0,0
"Perryman, Nick",CSU Bakersfield,0.000,8,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Pollard, Michael",CSU Bakersfield,0.130,23,7,23,3,3,0,0,0,2,3,0.130,5,1,11,1,0.310,0,0,1,1
"Reynolds, Ryan",CSU Bakersfield,0.000,2,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Rice, Evan",CSU Bakersfield,0.206,37,29,107,15,22,3,0,0,12,25,0.234,15,5,27,6,0.323,3,1,2,3
"Roderick, David",CSU Bakersfield,0.000,2,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Saldana, Marcelo",CSU Bakersfield,0.000,3,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Santa Cruz, Adrian",CSU Bakersfield,0.000,15,12,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Silva, Kobe",CSU Bakersfield,0.182,6,3,11,1,2,2,0,0,2,4,0.364,2,0,3,0,0.286,1,0,0,0
"Tucker, Cody",CSU Bakersfield,0.000,22,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Vargas, Tyler",CSU Bakersfield,0.043,20,6,23,3,1,1,0,0,2,2,0.087,7,1,6,0,0.290,0,4,0,0
"Stafford, Ryan",Cal Poly,0.321,58,58,246,50,79,16,1,3,33,106,0.431,25,4,34,1,0.384,6,0,3,4
"Corio, Taison",Cal Poly,0.091,20,3,22,2,2,0,0,0,2,2,0.091,2,0,10,0,0.167,0,1,1,1
"Lee, Brooks",Cal Poly,0.357,58,58,235,56,84,25,1,15,55,156,0.664,46,2,28,5,0.462,3,0,3,4
"Yorke, Joe",Cal Poly,0.353,58,58,224,36,79,13,0,4,51,104,0.464,35,3,32,5,0.440,4,3,0,0
"Borgogno, Brett",Cal Poly,0.248,56,28,109,24,27,4,1,4,20,45,0.413,12,5,26,5,0.346,1,6,1,1
"Villegas, Collin",Cal Poly,0.290,56,50,183,36,53,20,2,4,40,89,0.486,38,4,39,7,0.417,3,1,0,1
"Marinconz, Nick",Cal Poly,0.309,51,45,178,34,55,10,0,1,16,68,0.382,22,6,33,2,0.397,3,3,1,4
"Samuelson, Tate",Cal Poly,0.245,54,52,200,26,49,10,0,3,32,68,0.340,12,8,39,5,0.309,3,1,0,0
"Lopez, Matt",Cal Poly,0.307,48,35,140,24,43,10,0,4,28,65,0.464,12,4,29,6,0.373,2,1,0,0
"Haas, Matthias",Cal Poly,0.265,42,30,113,21,30,3,1,3,17,44,0.389,9,3,29,3,0.333,1,0,0,0
"Lagattuta, John",Cal Poly,0.222,54,44,158,24,35,5,1,5,25,57,0.361,22,0,53,0,0.313,2,2,0,3
"Armstrong, Mark",Cal Poly,0.200,28,3,35,6,7,2,0,0,8,9,0.257,4,1,4,1,0.300,0,0,0,0
"Doss, Reagan",Cal Poly,0.270,58,56,178,31,48,9,1,1,25,62,0.348,16,6,60,0,0.345,3,4,0,2
"Painter, Jack",Cal Poly,0.111,24,2,18,3,2,0,0,0,0,2,0.111,3,0,6,0,0.238,0,0,0,0
"Weston, Travis",Cal Poly,0.000,16,15,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Tomlinson, Evan",Cal Poly,0.000,9,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"True, Derek",Cal Poly,0.000,20,0,1,1,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Walter, Chase",Cal Poly,0.000,24,0,0,2,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Nelson, Darren",Cal Poly,0.000,4,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Kirchner, Sebastian",Cal Poly,0.000,3,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Baytosh, Chris",Cal Poly,0.000,3,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Brooks, Steven",Cal Poly,0.000,10,8,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Button, Zach",Cal Poly,0.000,21,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Buxton, Jake",Cal Poly,0.000,4,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Franks, Jason",Cal Poly,0.000,31,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Larkin, Noah",Cal Poly,0.000,13,4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Sagouspe, Tanner",Cal Poly,0.000,5,0,2,0,0,0,0,0,0,0,0.000,1,0,2,0,0.333,0,0,0,0
"Scott, Kyle",Cal Poly,0.000,15,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Sheedy, Kaden",Cal Poly,0.000,14,4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Thorpe, Drew",Cal Poly,0.000,15,15,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Villalobos, Dylan",Cal Poly,0.000,17,11,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Warrecker, Bryce",Cal Poly,0.000,13,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Klassen, Blake",UC Santa Barbara,0.352,37,35,145,36,51,9,2,10,27,94,0.648,12,3,27,5,0.413,0,1,1,2
"Willits, Bryce",UC Santa Barbara,0.302,47,43,172,40,52,18,2,5,33,89,0.517,30,2,43,4,0.410,1,3,5,5
"Kirtley, Christian",UC Santa Barbara,0.304,57,57,214,41,65,11,2,11,45,113,0.528,34,9,48,3,0.414,4,1,7,10
"Brown, Jessada",UC Santa Barbara,0.444,20,0,9,7,4,1,0,0,1,5,0.556,3,0,2,0,0.583,0,0,2,3
"Johnson, Kyle",UC Santa Barbara,0.285,58,57,207,41,59,15,0,7,40,95,0.459,42,11,47,2,0.426,3,0,0,1
"Trimble, Justin",UC Santa Barbara,0.143,7,0,7,1,1,0,0,1,2,4,0.571,0,0,6,0,0.143,0,0,0,0
"Vogt, Nick",UC Santa Barbara,0.312,52,52,205,50,64,15,5,7,49,110,0.537,22,11,39,1,0.401,4,0,10,14
"Mortensen, Broc",UC Santa Barbara,0.249,57,52,201,44,50,5,0,16,53,103,0.512,25,16,60,2,0.376,0,1,6,9
"Newman Jr, John",UC Santa Barbara,0.337,39,27,101,24,34,6,2,3,21,53,0.525,18,11,22,1,0.485,0,1,8,10
"Eng, Mason",UC Santa Barbara,0.171,26,12,35,5,6,1,0,1,6,10,0.286,3,2,10,0,0.268,1,4,1,1
"Oakley, Nick",UC Santa Barbara,0.253,38,23,99,16,25,10,1,1,22,40,0.404,3,6,24,2,0.309,2,2,5,5
"Sprinkle, Jordan",UC Santa Barbara,0.285,56,56,214,44,61,11,4,3,35,89,0.416,31,6,46,3,0.381,6,1,25,34
"Lewis, Cory",UC Santa Barbara,0.000,16,16,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Gallegos, Elliot",UC Santa Barbara,0.000,11,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Ager, Matt",UC Santa Barbara,0.000,24,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Beer, Trevor",UC Santa Barbara,0.000,2,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Bloom, Giani",UC Santa Barbara,0.167,26,22,72,11,12,2,1,5,13,31,0.431,8,1,22,0,0.256,1,0,1,1
"Callahan, JD",UC Santa Barbara,0.000,9,8,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Darby, Zander",UC Santa Barbara,0.241,35,29,108,21,26,2,0,7,20,49,0.454,20,5,35,0,0.381,1,1,0,1
"Gallagher, Ryan",UC Santa Barbara,0.000,16,15,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Gutierrez, Michael",UC Santa Barbara,0.000,16,15,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Hall, Clayton",UC Santa Barbara,0.000,8,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Harvey, Ryan",UC Santa Barbara,0.000,23,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Hattenbach, Hayden",UC Santa Barbara,0.000,19,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Huddlestun, Brady",UC Santa Barbara,0.000,6,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Ledford, Steele",UC Santa Barbara,0.000,4,0,0,2,0,0,0,0,1,0,0.000,0,0,0,0,0.000,0,1,0,0
"McCollum, LeTrey",UC Santa Barbara,0.267,21,6,30,6,8,1,0,0,2,9,0.300,4,2,7,0,0.389,0,0,2,2
"Mosby, Leo",UC Santa Barbara,0.400,9,5,20,5,8,3,0,0,7,11,0.550,2,1,4,0,0.478,0,0,0,0
"Parker, Aaron",UC Santa Barbara,0.286,10,1,7,1,2,0,1,0,1,4,0.571,0,0,5,0,0.286,0,0,0,0
"Rice, Michael",UC Santa Barbara,0.000,26,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Rons, Cooper",UC Santa Barbara,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Schrier, Alex",UC Santa Barbara,0.000,14,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Splaine, Michael",UC Santa Barbara,0.000,8,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Welch, Nick",UC Santa Barbara,0.000,19,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Whiting, Sam",UC Santa Barbara,0.000,17,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Willow, Jason",UC Santa Barbara,0.253,49,45,166,33,42,7,2,1,21,56,0.337,24,1,50,0,0.347,2,3,15,18
